🕘️更新时间,#genre#
2026-05-05 17:54:42,http://223.10.214.111:6000/rtp/239.1.1.7:8007

📺央视频道,#genre#
CCTV-1,http://223.10.214.111:6000/rtp/239.1.1.7:8007
CCTV-1,http://223.10.214.110:6001/rtp/239.1.1.7:8007
CCTV-1,http://121.239.19.235:4022/rtp/239.49.8.129:6000
CCTV-1,http://114.232.243.67:8848/rtp/239.49.8.129:6000
CCTV-1,http://125.108.143.233:7778/rtp/233.50.200.247:5140
CCTV-2,http://180.125.146.219:55555/rtp/239.49.8.130:6000
CCTV-2,http://175.172.170.43:8089/rtp/232.0.0.135:1234
CCTV-2,http://125.108.143.233:7778/rtp/233.50.201.119:5140
CCTV-2,http://125.108.143.233:7778/rtp/233.50.200.25:5140
CCTV-2,http://223.10.214.110:6001/rtp/239.1.1.8:8008
CCTV-3,http://223.10.214.110:6001/rtp/239.1.1.9:8009
CCTV-3,http://223.10.214.110:6000/rtp/239.1.1.9:8009
CCTV-3,http://175.172.170.43:8089/rtp/232.0.0.170:1234
CCTV-4,http://117.57.38.216:4022/rtp/238.1.78.236:7760
CCTV-4,http://175.172.170.43:8089/rtp/232.0.0.201:1234
CCTV-4,http://223.10.214.111:6000/rtp/239.1.1.10:8010
CCTV-4,http://223.10.214.110:6000/rtp/239.1.1.10:8010
CCTV-5,http://223.10.214.110:6001/rtp/239.1.1.11:8011
CCTV-5,http://125.108.143.233:7778/rtp/233.50.201.197:5140
CCTV-5,http://175.172.170.43:8089/rtp/232.0.0.171:1234
CCTV-5+,http://223.10.214.110:6001/rtp/239.1.1.12:8012
CCTV-5+,http://223.10.214.110:6000/rtp/239.1.1.12:8012
CCTV-5+,http://115.201.93.35:4022/rtp/233.50.201.220:5140
CCTV-5+,http://175.172.170.43:8089/rtp/232.0.0.93:1234
CCTV-5+,http://171.117.95.114:6001/rtp/226.0.2.168:9256
CCTV-6,http://223.10.214.110:6000/rtp/239.1.1.13:8013
CCTV-6,http://223.10.214.111:6000/rtp/239.1.1.13:8013
CCTV-6,http://171.117.95.114:6001/rtp/226.0.2.210:9592
CCTV-6,http://183.185.239.137:8001/rtp/226.0.2.210:9592
CCTV-6,http://223.10.214.110:6001/rtp/239.1.1.13:8013
CCTV-7,http://175.172.170.43:8089/rtp/232.0.0.136:1234
CCTV-7,http://117.57.38.216:4022/rtp/238.1.78.239:7784
CCTV-7,http://27.14.159.146:10000/rtp/225.0.4.127:7980
CCTV-8,http://223.10.214.111:6000/rtp/239.1.1.15:8015
CCTV-8,http://183.185.239.137:8001/rtp/226.0.2.211:9600
CCTV-8,http://171.117.95.114:6001/rtp/226.0.2.211:9600
CCTV-8,http://223.10.214.110:6001/rtp/239.1.1.15:8015
CCTV-8,http://125.108.144.251:7778/rtp/233.50.201.199:5140
CCTV-9,http://223.10.214.110:6001/rtp/239.1.1.16:8016
CCTV-9,http://223.10.214.110:6000/rtp/239.1.1.16:8016
CCTV-9,http://125.108.126.69:7778/rtp/233.50.201.121:5140
CCTV-9,http://125.108.113.176:7778/rtp/233.50.201.121:5140
CCTV-9,http://175.172.170.43:8089/rtp/232.0.0.137:1234
CCTV-10,http://223.10.214.110:6001/rtp/239.1.1.17:8017
CCTV-10,http://223.10.214.110:6000/rtp/239.1.1.17:8017
CCTV-10,http://125.108.113.176:7778/rtp/233.50.201.122:5140
CCTV-10,http://175.172.170.43:8089/rtp/232.0.0.138:1234
CCTV-10,http://125.108.126.69:7778/rtp/233.50.201.122:5140
CCTV-11,http://175.172.170.43:8089/rtp/232.0.0.178:1234
CCTV-12,http://223.10.214.111:6000/rtp/239.1.1.19:8019
CCTV-12,http://117.57.38.216:4022/rtp/238.1.78.242:7808
CCTV-12,http://183.185.239.137:8001/rtp/226.0.2.164:9224
CCTV-12,http://223.10.214.110:6000/rtp/239.1.1.19:8019
CCTV-12,http://223.10.214.110:6001/rtp/239.1.1.19:8019
CCTV-13,http://175.172.170.43:8089/rtp/232.0.0.15:1234
CCTV-13,http://27.14.159.146:10000/rtp/225.0.4.219:7980
CCTV-14,https://iptv.catvod.com/catvod?id=CCTV14&line=7
CCTV-14,https://iptv.catvod.com/catvod?id=CCTV14&line=6
CCTV-14,https://iptv.catvod.com/catvod?id=CCTV14&line=8
CCTV-14,https://iptv.catvod.com/catvod?id=CCTV14&line=5
CCTV-14,http://223.10.214.111:6000/rtp/239.1.1.21:8021
CCTV-15,http://113.120.108.132:4000/rtp/239.21.2.4:5002
CCTV-15,http://27.14.159.146:10000/rtp/225.0.4.220:7980
CCTV-16,http://113.120.108.132:4000/rtp/239.21.2.51:5002
CCTV-16,http://183.185.239.137:8001/rtp/226.0.2.169:9264
CCTV-16,http://223.10.214.110:6000/rtp/239.1.1.122:8122
CCTV-16,http://223.10.214.111:6000/rtp/239.1.1.122:8122
CCTV-17,http://223.10.214.110:6001/rtp/239.1.1.23:8023
CCTV-17,http://171.117.95.114:6001/rtp/226.0.2.170:9272
CCTV-17,http://27.14.159.146:10000/rtp/225.0.4.179:7980
CETV-1,http://175.172.170.43:8089/rtp/232.0.0.212:1234
CETV-1,http://223.10.214.111:6000/rtp/239.1.1.65:8065
CETV-1,http://183.185.239.137:8001/rtp/226.0.2.181:9360
CETV-1,http://223.10.214.110:6000/rtp/239.1.1.65:8065
CETV-1,http://115.207.211.217:8889/rtp/233.50.200.169:5140

📡卫视频道,#genre#
湖南卫视,http://183.185.239.137:8001/rtp/226.0.2.143:9056
湖南卫视,http://223.10.214.110:6001/rtp/239.1.1.28:8028
湖南卫视,http://114.232.243.67:8848/rtp/239.49.8.142:6000
湖南卫视,http://171.117.95.114:6001/rtp/226.0.2.143:9056
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028
北京卫视,http://223.10.214.110:6000/rtp/239.1.1.41:8041
北京卫视,http://223.10.214.110:6001/rtp/239.1.1.41:8041
北京卫视,http://121.239.19.235:4022/rtp/239.49.8.141:6000
北京卫视,http://171.117.95.114:6001/rtp/226.0.2.177:9328
北京卫视,http://114.232.243.67:8848/rtp/239.49.8.141:6000
黑龙江卫视,http://125.108.113.176:7778/rtp/233.50.201.115:5140
黑龙江卫视,http://125.108.144.251:7778/rtp/233.50.201.115:5140
安徽卫视,http://125.108.143.233:7778/rtp/233.50.201.113:5140
海南卫视,http://175.172.170.43:8089/rtp/232.0.0.26:1234
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055
海南卫视,http://223.10.214.110:6000/rtp/239.1.1.55:8055
江苏卫视,http://125.108.113.176:7778/rtp/233.50.201.106:5140
江苏卫视,http://125.108.144.251:7778/rtp/233.50.201.106:5140
江西卫视,http://125.108.143.233:7778/rtp/233.50.201.145:5140
江西卫视,http://125.108.144.251:7778/rtp/233.50.201.145:5140
四川卫视,http://27.14.159.146:10000/rtp/225.0.4.108:7980
四川卫视,http://223.10.214.110:6001/rtp/239.1.1.29:8029
深圳卫视,http://125.108.113.176:7778/rtp/233.50.201.101:5140
深圳卫视,http://125.108.144.251:7778/rtp/233.50.201.101:5140
深圳卫视,http://114.248.1.66:23456/rtp/239.3.1.134:8020

☘️广东频道,#genre#
广东体育,http://58.63.66.118:8888/rtp/239.77.0.168:5146
大湾区卫视,http://58.63.66.118:8888/rtp/239.77.0.215:5146
广州综合,http://58.63.66.118:8888/rtp/239.253.43.71:5146
茂名综合,http://58.63.66.118:8888/rtp/239.77.0.206:5146
